T,h_hat,g_hat,cp_hat
200,217346,207999,20.786
298,217977,203276,20.786
300,217989,203185,20.786
400,218617,198155,20.786
500,219236,192155,20.786
600,219848,187657,20.786
700,220456,182244,20.786
800,221059,176744,20.786
900,221653,171169,20.786
1000,222234,165528,20.786
1100,222793,159830,20.786
1200,223329,154082,20.786
1300,223843,148291,20.786
1400,224335,142461,20.786
1500,224806,136596,20.786
1600,225256,130700,20.786
1700,225687,124777,20.786
1800,226099,118830,20.786
1900,226493,112859,20.786
2000,226868,106869,20.786
2100,227226,100860,20.786
2200,227568,94834,20.786
2300,227894,88794,20.786
2400,228204,82739,20.786
2500,228499,76672,20.786
2600,228780,70593,20.786
2700,229047,64504,20.786
2800,229301,58405,20.786
2900,229543,52298,20.786
3000,229772,46182,20.786
3100,229989,40058,20.786
3200,230195,33928,20.786
3300,230390,27792,20.786
3400,230574,21650,20.786
3500,230748,15502,20.786
3600,230912,9350,20.786
3700,231067,3194,20.786
3800,231212,-2967,20.786
3900,231348,-9132,20.786
4000,231475,-15299,20.786
4100,231594,-21470,20.786
4200,231704,-27644,20.786
4300,231805,-33820,20.786
4400,231897,-39998,20.786
4500,231981,-46179,20.786
4600,232056,-52361,20.786
4700,232123,-58545,20.786
4800,232180,-64730,20.786
4900,232228,-70916,20.786
5000,232267,-77103,20.786
