T,c_p,S,=-(F*-H*_298)/T',H*-H*_298,h_hat
0,0,0,Null,-2.055,-64.788
100,6.962,33.904,47.7,-1.38,-64.84
200,6.962,38.729,42.146,-0.683,-64.795
298,6.964,41.509,41.509,0,-64.8
300,6.964,41.552,41.509,0.013,-64.801
400,6.967,43.556,41.782,0.709,-64.832
500,6.973,45.111,42.298,1.406,-64.892
600,6.986,46.384,42.877,2.104,-64.96
700,7.015,47.463,43.457,2.804,-65.037
800,7.063,48.402,44.017,3.508,-65.119
900,7.129,49.238,44.552,4.217,-65.204
1000,7.211,49.993,45.059,4.934,-65.288
1100,7.303,50.684,45.539,5.66,-65.372
1200,7.402,51.324,45.995,6.395,-65.452
1300,7.504,51.921,46.428,7.14,-65.53
1400,7.606,52.48,46.841,7.896,-65.605
1500,7.705,53.009,47.234,8.662,-65.678
1600,7.8,53.509,47.611,9.437,-65.749
1700,7.891,53.985,47.972,10.221,-65.817
1800,7.977,54.438,48.319,11.015,-65.863
1900,8.058,54.872,48.652,11.817,-65.946
2000,8.133,55.287,48.974,12.626,-66.008
2100,8.204,55.685,49.284,13.443,-66.068
2200,8.27,56.069,49.684,14.267,-66.127
2300,8.331,56.438,49.874,15.097,-66.184
2400,8.389,56.793,50.155,15.933,-66.24
2500,8.442,57.137,50.327,16.773,-66.295
2600,8.493,57.469,50.692,17.621,-66.351
2700,8.54,58.79,50.969,18.473,-66.406
2800,8.584,58.102,51.199,19.329,-66.459
2900,8.625,58.402,51.442,20.19,-66.513
3000,8.664,58.697,51.679,21.054,-66.567
3100,8.701,58.981,51.91,21.922,-66.62
3200,8.735,59.258,52.135,22.794,-66.673
3300,8.768,59.528,52.355,23.669,-66.727
3400,8.799,59.79,52.57,24.348,-66.781
3500,8.829,60.045,52.78,25.429,-66.83
3600,8.857,60.294,52.985,26.313,-66.891
3700,8.884,60.537,53.186,27.794,-66.947
3800,8.91,60.775,53.383,28.09,-67.003
3900,8.934,61.005,53.575,28.982,-67.062
4000,8.958,61.233,53.764,29.877,-67.12
4100,8.98,61.454,53.949,30.774,-67.18
4200,9.002,61.671,54.13,31.673,-67.24
4300,9.023,61.883,54.308,32.574,-67.302
4400,9.043,62.091,54.482,33.478,-67.365
4500,9.063,62.294,54.654,34.383,-67.429
4600,9.081,62.494,54.822,35.29,-67.464
4700,9.1,62.689,54.967,36.199,-67.551
4800,9.117,62.881,55.15,37.11,-67.528
4900,9.135,63.069,55.309,38.023,-67.697
5000,9.151,63.254,55.466,38.937,-67.767
5100,9.168,63.435,55.521,39.853,-67.839
5200,9.184,63.613,55.773,40.77,-67.911
5300,9.199,63.788,55.922,41.69,-67.985
5400,9.214,63.961,56.07,42.61,-68.051
5500,9.229,64.13,56.215,43.532,-68.137
5600,,,,44.452,
5700,,,,45.372,
5800,,,,46.292,
5900,,,,47.212,
6000,,,,48.137,
6100,,,,49.077,
6200,,,,50.017,
6300,,,,50.957,
6400,,,,51.897,
6500,,,,52.837,
6600,,,,53.777,
6700,,,,54.717,
6800,,,,55.657,
6900,,,,56.597,
7000,,,,57.537,
7100,,,,58.497,
7200,,,,59.457,
7300,,,,60.417,
7400,,,,61.377,
7500,,,,62.337,
7600,,,,63.297,
7700,,,,64.257,
7800,,,,65.217,
7900,,,,66.177,
8000,,,,67.137,
8100,,,,68.117,
8200,,,,69.097,
8300,,,,70.077,
8400,,,,71.057,
8500,,,,72.037,
8600,,,,73.017,
8700,,,,73.997,
8800,,,,74.977,
8900,,,,75.957,
9000,,,,76.937,
9100,,,,77.937,
9200,,,,78.937,
9300,,,,79.937,
9400,,,,80.937,
9500,,,,81.937,
9600,,,,82.937,
9700,,,,83.937,
9800,,,,84.937,
9900,,,,85.937,
10000,,,,86.937,
