T,h_hat,g_hat,cp_hat
200,38864,35808,30.14
298,38985,34279,29.932
300,38987,34250,29.928
400,39030,32662,29.718
500,39000,31072,29.57
600,38909,29494,29.527
700,38770,27935,29.615
800,38599,26399,29.844
900,38410,24885,30.208
1000,38220,23392,30.682
1100,38039,21918,31.186
1200,37867,20260,31.662
1300,37704,19017,32.114
1400,37548,17585,32.54
1500,37397,16164,32.943
1600,37252,14753,33.323
1700,37109,13352,33.682
1800,36969,11958,34.019
1900,36831,10573,34.337
2000,36693,9194,34.635
2100,36555,7823,34.915
2200,36416,6458,35.178
2300,36276,5099,35.425
2400,36133,3746,35.656
2500,35986,2400,35.872
2600,35836,1060,36.074
2700,35682,-275,36.263
2800,35524,-1604,36.439
2900,35360,-2927,36.604
3000,35191,-4245,36.759
3100,35016,-5556,36.903
3200,34835,-6862,37.039
3300,34648,-8162,37.166
3400,34454,-9457,37.285
3500,34253,-10745,37.398
3600,34046,-12028,37.504
3700,33831,-13305,37.605
3800,33610,-14576,37.701
3900,33381,-15841,37.793
4000,33146,-17100,37.882
4100,32903,-18353,37.968
4200,32654,-19600,38.052
4300,32397,-20841,38.135
4400,32134,-22076,38.217
4500,31864,-23306,38.3
4600,31588,-24528,38.382
4700,31305,-25745,38.466
4800,31017,-26956,38.552
4900,30722,-28161,38.64
5000,30422,-29360,38.732
